"Commuting destination by main mode of commuting, age and gender: Canada, provinces and territories, census divisions and census subdivisions"
"Frequency: Occasional"
"Table: 98-10-0462-01"
"Release date: 2022-11-30"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: Employed labour force aged 15 years and over having a usual place of work, in private households, 2021 Census — 25% Sample data"
"Variable List: Main mode of commuting (11A), Age (15A), Gender (3), Statistics (3), Commuting destination (5)"

,"Age (15A) 1","15 to 24 years",,,,
2,"Gender  Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman).   Gender includes the following concepts:   gender identity, which refers to the gender that a person feels internally and individually;   gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender.  A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time.   Some people may not identify with a specific gender."
3,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol."
4,"Main mode of commuting  Main mode of commuting refers to the main mode of transportation a person uses to travel to their place of work."
5,"Commuting destination  Commuting destination refers to whether or not a person commutes to another municipality (i.e., census subdivision), another census division or another province or territory. Commuting refers to the travel of a person to their usual place of work."
6,"The census assumes that the commute to work originates from the usual place of residence, but this may not always be the case. Sometimes, respondents may be on a business trip and may have reported their place of work or main mode of commuting based on where they were working during the trip. Some persons maintain a residence close to work and commute to their home on weekends. Students often work after school at a location near their school. As a result, the data may show unusual commutes or unusual main modes of commuting."



"How to cite: Statistics Canada. Table 98-10-0462-01  Commuting destination by main mode of commuting, age and gender: Canada, provinces and territories, census divisions and census subdivisions"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810046201
